"","variety","emmean","SE","df","lower.CL","upper.CL","yr_release"
"1","Alves",11.3470917792912,0.135109661774706,431,11.0815359926563,11.6126475659261,2006
"2","Amalia",11.8284168744181,0.156257049220647,431,11.5212962504894,12.1355374983468,2010
"3","Anapolis",11.8063103540493,0.178944708077613,431,11.4545975150597,12.1580231930389,2012
"4","Anouska",8.6238350623605,0.228313450966636,431,8.17508878267637,9.07258134204463,1972
"5","Anthus",11.0445263923083,0.133565055742922,431,10.7820065030654,11.3070462815513,2003
"6","Arminda",9.24051509574015,0.11017536503118,431,9.02396725345902,9.45706293802127,1974
"7","Arnaut",9.02349459127221,0.145596718340106,431,8.73732666987853,9.30966251266589,1993
"8","Benchmark",12.564881462031,0.196024813948486,431,12.1795979598426,12.9501649642195,2013
"9","Bercy",10.1271829837149,0.120130953227039,431,9.89106759889068,10.3632983685392,1992
"10","Bristol",10.9473341955662,0.112937259467013,431,10.7253578958389,11.1693104952935,1999
"11","Carenius",11.2371517341059,0.152517016240215,431,10.9373820826178,11.536921385594,2005
"12","Caribo",8.83107206999839,0.269324641700294,431,8.30171897897998,9.36042516101679,1968
"13","Citadel",9.47100276562904,0.153352713904728,431,9.16959056432047,9.77241496693762,1982
"14","Delmare",11.5762784155711,0.142462761544199,431,11.2962702339865,11.8562865971558,2007
"15","Donata",8.74450461674769,0.203153516963971,431,8.34520976768665,9.14379946580873,1976
"16","Donjon",9.30259074582177,0.164792009415457,431,8.97869479999042,9.62648669165312,1981
"17","Drifter",11.1657327226673,0.115187735673328,431,10.9393331494936,11.3921322958409,1997
"18","Durin",8.92526237239875,0.18534599884364,431,8.56096790317986,9.28955684161763,1976
"19","Eiffel",10.0031867742256,0.175726504539772,431,9.65779926061107,10.3485742878401,1992
"20","Elixer",11.9645126026334,0.171580280138852,431,11.6272744239213,12.3017507813456,2009
"21","Estica",10.1952132421774,0.127660532474023,431,9.94429859493403,10.4461278894208,1990
"22","Farandole",10.5932047271935,0.157188519560214,431,10.284253313849,10.902156140538,1997
"23","Fletum",9.66776281594132,0.146651682789457,431,9.37952137951889,9.95600425236375,1989
"24","Globus",10.9083598820414,0.132157075933684,431,10.6486073536289,11.168112410454,2002
"25","Granada",9.06997545904452,0.15503561746483,431,8.76525553885882,9.37469537923022,1981
"26","Granta",9.29505718806526,0.14489897753415,431,9.01026066458761,9.57985371154292,1982
"27","Harlem",10.9855351484016,0.159961817253166,431,10.6711328646992,11.2999374321039,2001
"28","Harrier",10.6256558776744,0.158389479873586,431,10.3143439968656,10.9369677584833,1995
"29","Henrik",11.6332006197978,0.14039713627569,431,11.3572523902245,11.9091488493711,2008
"30","Hereward",9.79443891644291,0.109423141974718,431,9.57936955603243,10.0095082768534,1990
"31","Herzog",9.38459495931564,0.122770602740644,431,9.14329138740085,9.62589853123044,1987
"32","Homeros",11.5780126026334,0.171580280138852,431,11.2407744239213,11.9152507813456,2009
"33","Ilias",10.8785759838657,0.118672341840406,431,10.6453274753927,11.1118244923387,2000
"34","Johnny",12.031631462031,0.196024813948486,431,11.6463479598426,12.4169149642195,2013
"35","Julius",11.4460993586554,0.134164662866661,431,11.1824009516119,11.7097977656988,2007
"36","Kampa",10.4778830631756,0.145400782578785,431,10.1921002502527,10.7636658760986,1999
"37","Kelvin",11.45692284202,0.140397136275691,431,11.1809746124467,11.7328710715933,2008
"38","Koch",10.680493031128,0.176693396876277,431,10.3332051067535,11.0277809555025,2001
"39","Kodex",10.9290684007726,0.152517016240215,431,10.6292987492845,11.2288380522607,2005
"40","Kraka",9.06135874858156,0.155667888818058,431,8.75539610959717,9.36732138756595,1985
"41","KWS Erasmus",11.5456421063553,0.188850180718725,431,11.1744602261095,11.9168239866011,2010
"42","KWS Livius",11.5329103540493,0.178944708077613,431,11.1811975150597,11.8846231930389,2012
"43","Lear",11.7817426471124,0.15857805677259,431,11.470060121554,12.0934251726708,2008
"44","Limes",11.0843628056568,0.123580418650552,431,10.8414675540785,11.3272580572351,2000
"45","Lincoln",11.2649712556221,0.137719686231017,431,10.9942855094527,11.5356570017916,2005
"46","Marconi",10.801777024522,0.182548464190669,431,10.4429810630016,11.1605729860424,2007
"47","Marksman",9.57280113521724,0.153669863275219,431,9.27076558211091,9.87483668832357,1977
"48","Mediator",11.5896103540493,0.178944708077613,431,11.2378975150597,11.9413231930389,2012
"49","Miller",9.33276126870938,0.159268884120572,431,9.01972093352127,9.64580160389749,1984
"50","Napier",10.993563738772,0.144654235977127,431,10.7092482507425,11.2778792268015,1998
"51","Nautica",8.83998472654277,0.172600641656618,431,8.50074104428675,9.17922840879879,1974
"52","Obelisk",9.67085262100735,0.121796966735291,431,9.43146271442116,9.91024252759354,1984
"53","Okapi",9.29378966429273,0.130401055735361,431,9.03748856429018,9.55009076429528,1975
"54","Pagode",9.46258588121025,0.141524832524244,431,9.18442118346998,9.74075057895053,1986
"55","Patrel",11.0938347837757,0.202617763538183,431,10.6955929491368,11.4920766184145,2003
"56","Profilus",11.1605883632614,0.16741147866335,431,10.8315438943152,11.4896328322077,2007
"57","Residence",10.7392053134502,0.105280541037963,431,10.5322781660838,10.9461324608167,1995
"58","RGT Reform",11.680131462031,0.196024813948486,431,11.2948479598426,12.0654149642195,2013
"59","Ritmo",10.7077490051035,0.100294136631859,431,10.5106225524257,10.9048754577813,1989
"60","Robigus",11.3467692097979,0.139297570897493,431,11.0729821576351,11.6205562619608,2002
"61","Saiga",9.12719570337719,0.144035673166117,431,8.84409599023528,9.4102954165191,1979
"62","Sarno",9.32105248890039,0.163013017630269,431,9.00065312174985,9.64145185605094,1982
"63","Semper",10.6772700057139,0.126629351274201,431,10.428382127919,10.9261578835088,1996
"64","SW Tataros",10.9990932899166,0.111301158925678,431,10.7803327185137,11.2178538613195,2000
"65","Swifta",8.94351327990916,0.358379305123622,431,8.23912473333373,9.64790182648459,1978
"66","Tabasco",11.6340992977823,0.128359850175418,431,11.3818101532612,11.8863884423034,2006
"67","Tambor",9.64179464579174,0.135155569701918,431,9.3761486278916,9.90744066369187,1994
"68","Taurus",9.46840021010592,0.129845287432615,431,9.21319146343239,9.72360895677944,1984
"69","Tombola",9.20283028335274,0.170394996594522,431,8.86792175967686,9.53773880702862,1985
"70","Toronto",9.67232138739001,0.146160688020579,431,9.38504499299618,9.95959778178383,1990
"71","Tower",10.2880803600775,0.135155569701918,431,10.0224343421773,10.5537263779776,1994
"72","Trawler",9.97091881156429,0.158418503242566,431,9.65954988580783,10.2822877373207,1992
"73","Tuareg",11.3079850674393,0.152517016240215,431,11.0082154159511,11.6077547189274,2005
"74","Tulsa",10.8162516945457,0.123580418650552,431,10.5733564429674,11.0591469461239,2000
"75","Versailles",10.7037867252719,0.127031622169537,431,10.4541081907419,10.9534652598018,1993
"76","Virtuose",10.4705587068267,0.157133985286514,431,10.1617144796876,10.7794029339659,1998
"77","Vivant",11.0142200136923,0.0931466343549681,431,10.8311418575218,11.1972981698627,1990
